name,school_rating,size,reduced_lunch,state_percentile_16,state_percentile_15,stu_teach_ratio,school_type,avg_score_15,avg_score_16,full_time_teachers,percent_black,percent_white,percent_asian,percent_hispanic
Liberty Elementary,2,717,62,31.7,20.5,16.6,Public,29.2,37.3,43,1.3,88.6,0.3,7.9
Liberty Elementary,3,807,63,60.1,52.4,13.4,Public,52.6,57.4,60,27.3,45.8,0.1,12
Lincoln Elementary,3,460,78,62.1,70.6,15.3,Public,65.5,58.7,30,17,63.9,0.9,5.4
Lipscomb Elementary,5,775,5,98.9,98.6,16.4,Public,94,96.9,47,3.6,80.9,8.1,2.6
Lockeland Elementary,5,300,20,99.4,98,13.6,Public Magnet,93.7,97.5,22,13,82.7,2,1.3
Longview Elementary School,5,863,13,95.4,91.1,17.2,Public,83.7,90.4,50,3.2,83.3,1.4,8.5
Madison Creek Elementary,4,740,21,79.7,82.9,13.7,Public,75.2,73.1,54,12.8,77,3.5,3.9
Maplewood High,0,1002,86,2.9,3.7,18.9,Public,13,7.2,53,72.2,11.3,1.1,14.5
Margaret Allen Middle,1,504,89,24.7,11.5,18.6,Public,20.5,33.1,27,34.3,31,3.6,30.8
Martin Luther King Junior School,5,1224,37,98.9,97.7,21.1,Public Magnet,90.2,98.9,58,36.8,42.1,11.8,4.7
Marvin Wright Elementary School,4,611,31,77.1,84.3,16.5,Public,76.4,72.1,37,3.9,86.7,1.8,7.4
May Werthan Shayne Elementary School,2,794,55,36.6,41.7,16.5,Public,45.5,41,48,32.5,50.5,8.3,6.4
McDowell Elementary,0,358,76,5.6,16.9,14.3,Public,25.2,11.4,25,42.7,33.2,0.8,22.6
McFadden School Of Excellence,5,388,3,99.8,99.3,18.4,Public Magnet,94.9,98.5,21,4.9,86.9,3.1,2.3
McGavock Elementary,1,310,76,19.9,15.3,14.7,Public,23.7,27.1,21,20.6,39.7,4.5,30.3
McGavock High,1,2314,65,19.8,24.7,17.5,Public,36.7,24.8,132,37.3,45.5,2.5,13.3
McMurray Middle,1,740,98,12.8,6.8,17.6,Public,13.6,21.4,42,11.9,18.2,19.5,50
Meigs Middle,5,699,28,98.2,98.4,19.4,Public Magnet,91.7,91.8,36,25.3,59.9,8.7,4.7
Middle College High,5,122,19,94.3,96.7,20.3,Public,89.4,83.5,6,52.5,37.7,4.1,4.9
Miller Perry Elementary,3,380,39,63.5,71.2,16.5,Public,65.9,61.3,23,0.5,94.5,1.1,1.8
Millersville Elementary,2,302,62,47.5,60.2,13.1,Public,57,47.7,23,5.6,67.9,1,21.2
Minglewood Elementary,3,812,76,58.5,36.1,13,Public,42.2,56,62,28,39.9,0.7,18.7
Mitchell-Neilson Elementary,1,819,65,12.4,28,13.4,Public,36.5,19.4,61,25.6,48.6,1.5,15.9
Moore Elementary,5,529,25,96.4,97.4,12,Public,92.9,91.9,44,9.1,59.9,10.4,17.2
Moore Magnet Elementary,4,472,59,85.5,75.8,12.7,Public Magnet,68.9,79.7,37,29.2,49.4,1.1,8.9
Moses McKissack Middle,0,345,98,3.8,3.5,11.5,Public,6.7,7.3,30,83.8,9.6,0,6.7
Mountain View Elementary,1,485,90,27.4,26,15.6,Public,34.8,33.8,31,19.4,58.4,0,11.1
Mt. Juliet Elementary,5,639,15,92.5,90.6,18.2,Public,82.9,87.5,35,0.2,84.5,4.7,4.5
Mt. Juliet High School,5,1993,18,93.1,89,19.3,Public,74.7,80.5,103,1.7,86.3,2.5,3.3
Mt. Juliet Middle School,5,1547,23,93.9,90,22.4,Public,80.1,84.8,69,0.6,85.8,2,3
Mt. Pleasant Middle Visual Perform. Arts,2,457,56,30.2,29.9,13,Public,39,37.6,35,19,77.2,0.7,2.4
Murrell School,0,71,87,0.2,,4.7,Public,,0.1,15,76.1,15.5,0,5.6
Nannie Berry Elementary,5,606,24,91.1,80.1,16.3,Public,72.3,86,37,7.1,83.5,4,4.3
Napier Elementary,0,476,84,0.7,1.1,13.2,Public Magnet,2.5,2.4,36,89.3,4.2,0.4,4.2
Nashville Big Picture High School,1,182,58,25,15.7,10.1,Public,28.9,30.1,18,53.8,36.3,1.1,7.7
Nashville Prep,4,383,55,82.2,95.7,15.3,Public Charter,88.4,73.7,25,79.6,7,0.8,12.5
Nashville School Of The Arts,3,621,36,53.7,60.9,20,Public Magnet,59.7,50.8,31,33.7,55.7,2.7,6.6
New Providence Middle School,3,1008,66,63.4,49.8,15.7,Public,52.1,60.2,64,22.9,55.1,0.6,13
New Vision Academy,4,178,81,86.8,74.6,13.6,Public Charter,67.6,77.8,13,50,7.9,1.1,40.4
Norman Binkley Elementary,1,510,86,11.6,13.4,13.7,Public,21.1,18.6,37,13.3,26.3,9.8,49
Norman Smith Elementary,4,625,73,87,94.4,13.5,Public,87.4,81.8,46,29.9,47.8,1,9.8
North Middle School,1,344,74,27.1,,19.1,Public,,35.4,18,0.3,95.9,0.6,1.7
North Side Elementary,3,249,64,64.5,46.9,10.8,Public,49,60.8,23,26.9,50.2,0.8,10
Northeast Elementary,3,854,38,60.6,55.4,14.4,Public,54.2,57.6,59,22,50.6,1.8,15
Northeast High School,4,1274,43,76.7,66.9,19.9,Public,62.4,65.5,64,35.2,41.4,2.2,12.8
Northeast Middle School,3,1163,46,67.6,54.1,17.6,Public,54.5,63.4,66,27.6,47.4,1.7,14.1
Northfield Elementary,3,610,48,61,59,11.5,Public,56.4,57.8,53,27.7,52.8,3,10
Northwest High School,3,1185,56,68.7,71.2,16.9,Public,64.1,59.8,70,26.4,57.4,1.4,9
Oak View Elementary School,5,665,6,97.8,98.1,15.8,Public,93.8,95.2,42,0.8,89.5,2.4,3.8
Oakland High School,3,1983,41,57.2,49.5,17,Public Magnet,52,53.4,116,25.1,59.1,3.7,10
Oakland Middle School,4,1046,42,74.9,58,16,Public,57.2,69,65,18.6,68.9,1.9,7.3
Oakmont Elementary,2,681,67,47.8,57.8,13.6,Public,55.7,48.7,50,10.7,72.4,1.9,9.8
Old Center Elementary,2,347,79,38.3,68.8,12.3,Public,64.2,42.2,28,46.1,23.9,2.3,24.5
Paragon Mills Elementary,0,920,86,4.3,5.6,15.3,Public,10.9,8.5,60,27.5,14.3,6,50.9
Park Avenue Elementary,0,521,91,7.4,10.3,11.3,Public Magnet,15.7,12.7,46,94.6,2.7,0,1.7
Pearl-Cohn High,0,905,89,3.7,3.3,15,Public Magnet,12.4,8.3,60,89,4.9,0.4,4.5
Pearre Creek Elementary School,5,753,3,97.9,96.1,16.3,Public,90.3,95.3,46,0.7,89.4,1.6,4.4
Pennington Elementary,1,361,57,10.6,14.5,15,Public,22.8,16.4,24,16.9,61.2,2.5,17.5
Percy Priest Elementary,5,561,13,99.1,99.5,16.5,Public,95.3,97,34,6.2,85.9,2.3,4.6
Pickett County Elementary,1,522,62,12.2,33.6,14.9,Public,40.8,19.9,35,0.8,96.7,0.4,2.1
Pickett County High School,3,249,59,50,46.8,13.8,Public,50.4,47.7,18,0.4,96,0.4,2.8
Poplar Grove 5-8,5,398,31,94.9,96.9,11.7,Public,89.6,87.7,34,6.5,61.1,4,25.1
Poplar Grove K-4,4,436,42,84.3,91.9,10.3,Public,84.3,78.2,42,4.8,51.4,3.7,37.8
Portland East Middle School,2,359,54,43.9,40.4,12.3,Public,46.3,46,29,4.2,88.9,0.3,5
Portland Gateview Elementary School,4,563,50,82.9,64.2,13,Public,60.2,75.9,43,3.7,86.5,0.7,4.6
Portland High School,3,1135,43,54,30.8,15.7,Public,40.1,51,72,5.2,88.9,0.4,4.2
Portland West Middle School,3,528,52,57.7,40,14.2,Public,46.1,56.2,37,6.3,86,0.6,6.1
R Howell Elementary,1,505,64,11.1,30.4,14.8,Public,38.2,17.1,34,25.5,58.6,1.6,12.7
Ravenwood High School,4,2025,4,69.8,96,19.2,Public,88.7,60.3,105,4.9,78.7,7.7,4.5
Renaissance High School,4,141,17,81.9,80.3,11.7,Public,68.7,68.8,12,2.8,90.8,0,3.5
Richview Middle School,4,990,36,87.4,77.7,17,Public,69.7,78.6,58,14.8,71,1.7,8
Ringgold Elementary,3,777,65,59.6,58.7,13.6,Public,56.2,56.6,57,35,34.4,0.5,17.9
Riverdale High School,4,1864,32,73.3,65.9,16.2,Public,62,62.6,115,14.9,71.9,5.8,5.1
Riverside Elementary,0,394,74,2.3,10.6,13.1,Public,16.3,6.3,30,33.8,51.3,0.3,14
Robert Churchwell Elementary,0,520,87,2,1.9,12,Public Magnet,4.3,6.1,43,91.3,3.7,0.6,2.1
Robert E Ellis Middle,5,602,19,95.7,95.9,15,Public,88.6,88.4,40,8,84.6,3,3.7
Robert E. Lilliard Elementary,0,400,92,6.7,11.1,14.8,Public Magnet,17.1,12,27,92,3.5,0.8,2.3
Robinson Middle School,5,900,42,91.9,85.9,17.3,Public,76.1,83.2,52,3.6,88.7,3.3,2.2
Rock Springs Elementary,3,454,43,56.5,47.7,15.1,Public,49.6,54.9,30,0.9,91.4,0.7,4.4
Rock Springs Elementary,4,945,34,81.6,88,16.2,Public,80.2,74.8,58,26.1,55.3,6.1,8.8
Roosevelt Elementary,4,269,86,69.9,65.8,12.2,Public,61.8,64.8,22,3.3,88.8,0,5.9
Rose Park Middle,5,430,63,91.5,83.2,16.5,Public Magnet,73.5,82.7,26,60.2,28.4,2.3,8.6
Rosebank Elementary,0,297,70,0.8,14.1,14.1,Public,22.5,2.8,21,57.2,30.3,2.4,5.4
Rossview Elementary,5,1322,26,94.5,93.7,16.5,Public,86.3,89.9,80,13.1,64.9,3.4,11.3
Rossview High School,5,1504,29,96,94,19.5,Public,82.7,85.9,77,18.6,66.5,2.1,7.5
Rossview Middle School,4,1179,36,88.5,82.6,16.8,Public,72.8,79.5,70,18.9,64.2,2.7,8
Roy L Waldron Elementary,2,826,78,30.7,40.8,13.7,Public,45.1,36.6,60,28.1,29.5,2.2,36
Rucker Stewart Middle,3,742,60,50.6,28.9,15.1,Public,38.6,51.6,49,27.6,52.2,1.3,17.3
Rutland Elementary,4,963,28,88.7,86.8,17.8,Public,79.1,83.3,54,1,77.9,8.1,4.4
STEM Preparatory Academy,3,420,55,68.6,90.8,14.4,Public Charter,80.6,64.5,29,16.7,16.7,1.4,65.2
Sam Houston Elementary,3,716,66,62.4,71.9,17,Public,66.2,59.2,42,19.6,65.1,0.7,11
Sango Elementary,5,563,18,96.6,95.3,14,Public,89,93,40,6.4,76.9,2.1,8.5
Scales Elementary,5,785,2,98.4,97.6,16.7,Public,93.2,96,47,1.3,88.4,4.1,2.7
Scales Elementary School,3,877,26,68.3,80,14.8,Public,71.9,63.7,59,19.5,62.4,4.7,5.9
Science Hill High School,5,2251,38,96.6,90.6,16,Public Magnet,78.5,88.7,140,11.3,77.4,1.9,7.3
Sevier Middle School,4,808,65,74.1,73,15.5,Public,66.6,68.8,52,13.9,75.7,2,5.2
Shelbyville Central High School,1,1290,67,28.2,27.1,16.9,Public,37.9,34.6,76,13.9,61.2,0.2,22.9
Shwab Elementary,0,341,79,8.6,7.9,12.6,Public,13.8,14.6,27,37.8,12.9,0.6,47.2
Siegel High School,3,1783,28,59.8,84.6,15.3,Public,71.3,55.3,116,16.8,74.6,2.1,4.7
Siegel Middle School,5,1039,32,91.1,90.6,17.3,Public,80.5,82.2,60,12.6,77.4,1.9,4.6
South Side Elementary,3,372,64,66.4,71.7,14.8,Public,66,62.6,25,8.9,67.7,1.3,14
South Side Elementary,2,410,80,32.2,32.2,12.8,Public,39.6,38,32,8.3,52,0.5,34.9
Southside Elementary,4,866,40,70.5,66.4,14.9,Public,62.4,65.5,58,0.3,90.3,0.3,5
Spencer Elementary,1,364,64,18.1,16,12.5,Public,24.4,26,29,0,99.7,0,0
Spring Hill Elementary,3,544,47,62,77.9,16.4,Public,70.4,58.8,33,11.2,76.5,1.8,10.3
Spring Hill High School,3,992,39,65.2,63.9,17.1,Public,60.9,58.6,58,15.2,75.6,1.3,7.8
Spring Hill Middle School,4,790,38,86.4,80.5,20.7,Public,71.5,77.9,38,8.9,82.3,1.4,6.7
Spring Station Middle School,5,1032,18,97.2,98,17.4,Public,90.5,90.4,59,3.3,86.3,1.4,5.4
Stanford Elementary,3,435,29,69.6,81.9,14.5,Public Magnet,74.3,64.9,30,29.9,52.6,6,9.7
Station Camp Elementary,5,1048,9,96,88.6,16.1,Public,80.6,91.6,65,5.4,86.8,2.8,2.9
Station Camp High School,4,1549,20,75,86.6,17.8,Public,73.1,64.5,87,11.2,79.4,1.4,7.2
Station Camp Middle School,4,759,13,89.3,91,16.8,Public,80.8,80,45,7.8,86.6,2.9,2.1
Stoner Creek Elementary,4,686,23,87.6,92.6,18,Public,85.1,82.4,38,0.1,82.1,3.1,6.4
Stratford High,0,675,83,8,7.4,16.4,Public Magnet,18.7,10.7,41,65.9,23.9,1.6,7.7
Sullivan East High School,2,930,55,46.3,26.8,14.5,Public,37.7,45,64,0.5,96.9,0.1,1.5
Sullivan Gardens K-8,3,510,64,50.3,53.8,18.2,Public,53.1,49.8,28,0.6,96.5,0,1
Sullivan North High School,2,533,63,34.8,25.1,11.3,Public,36.9,39.2,47,0.9,97.6,0,0.9
Sullivan South High School,4,904,34,87.6,26.4,16.7,Public,37.7,74,54,0.8,95.9,0.7,1.1
Summit High School,4,1319,12,70.1,94.6,18.3,Public,85.4,60.5,72,4,86.3,0.9,6.1
Sunset Elementary School,5,779,7,96.2,97.7,16.2,Public,93.6,91.9,48,5.9,73.6,12.1,4.4
Sunset Middle School,5,851,8,95.3,97.5,17.7,Public,90.4,88.5,48,5.5,77.4,7.1,5.8
Sylvan Park Elementary,3,491,42,63.3,50.8,14.8,Public Magnet,51.4,60.7,33,30.5,58.7,3.9,5.7
T. W. Hunter Middle School,5,696,20,93.7,77.9,13.6,Public,69.8,84.5,51,12.2,78.9,2.3,5
Tennessee High School,4,1189,43,85.3,70.2,15.6,Public,63.6,72.5,76,4.9,90.1,1.2,2.2
Tennessee Online Public School,5,222,27,90.8,62.5,111,Public Virtual,60.8,77.8,2,8.1,85.6,1.4,1.4
The Discovery School,5,226,44,91.3,93.1,16.1,Public,85.4,86.2,14,9.3,77,1.8,8
The Middle College @ Austin Peay State University,5,124,20,98.3,99.7,31,Public,99,95.9,4,9.7,63.7,1.6,16.1
Thomas Magnet,5,410,33,99.3,99.2,15.7,Public Magnet,94.9,97.5,26,4.6,70.2,1.7,20.5
Tom Joy Elementary,0,421,89,3.9,2.3,11.3,Public,5.3,8.5,37,51.5,23,1,20.9
Towne Acres Elementary,5,349,21,98,99,15.1,Public,94.5,95.4,23,3.2,77.4,10,2.6
Trinity Elementary,5,595,8,98.2,98.2,15.2,Public,93.8,96.1,39,2.2,86.2,4,3.5
Trousdale County Elementary,4,570,58,83,81,12.9,Public,73.3,76.1,44,10,80.4,0.4,4.4
Trousdale County High School,4,383,55,88.2,73.2,14.7,Public,64.9,74.2,26,14.6,81.7,0,2.3
Tuckers Crossroads Elementary,3,393,46,50.4,53.6,13.1,Public,52.9,49.8,30,0.3,90.3,1,3.3
Tusculum Elementary,0,722,91,1.8,2.6,14.1,Public,5.5,6.1,51,11.9,17.3,17,52.5
Two Rivers Middle,1,557,83,17.2,10.7,17.4,Public,18.8,24.8,32,43.8,34.3,2.3,18.3
Una Elementary,1,902,88,13.4,14.2,14.3,Public,22.6,21.6,63,37,29.8,2.2,28.7
Union Elementary School,5,528,15,94.7,94.1,17.6,Public,87.3,90,30,8.1,86.4,1.5,1.3
V G Hawkins Middle School,3,491,39,69,78.3,13.6,Public,70.3,64,36,13.2,76.4,1,7.7
Vance Middle School,4,572,54,78.9,66,13.9,Public,62,71.6,41,2.6,90.4,0.9,3
Vena Stuart Elementary,1,706,80,28.3,25.1,13.5,Public,33,34.7,52,22.5,45.6,1.6,25.2
W A Wright Elementary,4,657,40,89,89.8,16.8,Public,81.8,83.5,39,0.8,87.4,0.9,4.6
Walnut Grove Elementary,5,662,9,98.5,99.4,15.3,Public,95.2,96.2,43,1.7,89.4,4.1,2.6
Walter Hill Elementary,4,350,44,80.3,84.7,12.9,Public,76.8,73.8,27,6.9,79.7,1.1,6.9
Walter J. Baird Middle School,2,579,61,43.5,47.7,17,Public,50.9,46.3,34,19,68.7,1.6,8.8
Walton Ferry Elementary,4,461,33,86.9,81.3,14.4,Public,73.6,81.8,32,10,83.1,0.9,4.6
Warner Elementary,0,351,91,1.1,3.3,11.7,Public Magnet,7.2,2.8,30,89.7,5.1,0.6,2
Washington Elementary,4,449,48,81,88.4,15.4,Public,80.6,74.2,29,5.8,86.9,4.7,1.3
Watauga Elementary,4,392,44,72.1,35,15,Public,41.8,67.1,26,0.8,90.8,0.3,4.3
Watertown Elementary,2,611,50,46.8,52.6,13.8,Public,52.7,48,44,0.7,92.6,0.3,2.6
Watertown High School,3,408,41,51.1,27.8,13.1,Public,38.6,48.7,31,1.7,91.9,0.5,1
Watt Hardison Elementary,2,489,54,30,34.4,13.9,Public,41,36,35,2.9,78.9,0.6,14.3
Weaver Elementary,2,283,65,34.9,44.3,14.8,Public,47.6,39.7,19,1.4,95.4,0,2.1
West Creek Elementary School,4,638,46,79.6,64.8,13.8,Public,60.8,73.1,46,28.8,43.4,1.7,15.4
West Creek High School,3,1315,41,62.4,59.5,18,Public,58.9,57,73,36.2,37.8,1.8,15.8
West Creek Middle School,4,1049,46,77.5,59,17.4,Public,57.9,71.2,60,34.3,35.7,1.7,17.9
West Elementary,4,645,24,82.1,79.5,16.1,Public,71.5,75,40,0.8,87,1.4,5.1
West End Middle,3,494,51,51.4,70.7,15.4,Public Magnet,64.9,53.1,32,39.1,50.6,3.6,5.5
West Wilson Middle School,4,1153,30,80.2,78.9,19.8,Public,70.7,72.8,58,0.7,83.1,3.4,4.2
Westmeade Elementary,2,537,61,32,29.2,16.2,Public,37.6,37.6,33,21.6,55.3,6.3,11.4
Westwood Elementary School,4,550,40,77.3,87.4,14.1,Public,79.6,72.3,39,2.7,89.1,0.9,4
White House Heritage Elementary School,4,646,34,80,80.6,17.4,Public,73.1,73.6,37,2.6,90.2,1.9,3.3
White House Heritage High School,3,979,25,50.6,67.2,18.1,Public,62.5,48.1,54,2.7,91.4,1.3,3.1
White House High School,3,891,29,67.8,64.2,15.9,Public,61.1,59.7,56,2.2,92,0.7,4.3
White House Middle School,4,799,33,84,76.4,15,Public,69.1,74.7,53,2.5,91.4,1.6,4
Whitthorne Middle School,1,948,65,26.3,26.8,17.2,Public,37,35,55,22.4,61.7,1.7,14.1
Whitworth-Buchanan Middle School,3,851,60,50.4,53.7,14.6,Public,53.8,51.4,58,23.4,54.6,5.6,12.7
William Henry Oliver Middle,2,739,57,45.5,49.6,16.7,Public,51.8,47.9,44,26.9,51.3,11,10.1
Wilson Central High School,3,1823,24,55.7,63.2,17.8,Public,60.8,51.9,102,2.5,84.9,1.8,4.2
Wilson Elementary School,4,800,25,84.6,89,14.5,Public,81.3,79.3,55,5.5,86.4,2.6,4
Winfree Bryant Middle School,3,611,57,59.1,65.2,16.9,Public,61.4,57.7,36,15.2,66.3,1.5,15.7
Winstead Elementary School,5,515,8,93.9,97,14.3,Public,92,89.3,36,3.3,87.4,3.1,4.1
Woodland Elementary,4,424,55,84.8,76.7,14.1,Public,69.4,79.4,30,11.6,70.5,2.1,9.7
Woodland Middle School,5,866,2,93.3,97.1,19.2,Public,89.8,84.9,45,4.5,77.6,10,4.4
Wright Middle,0,829,89,4.5,1.2,16.5,Public,2.7,9.6,50,22.3,21,6.6,49.5